;beer_style;description
83;Scottish Gruit / Ancient Herbed Ale;This category recognizes the ancient ales. Beers of yore, the way beers were probably brewed throughout the Middle Ages in Continental Europe. Gruit is mainly a concoction of : sweet gale (Myrica gale), yarrow (Achillea millefolium), and wild rosemary (Ledum palustre). Other herbs, spices, and berries might be used to create interesting and pleasant aroma and flavor of green- and herbal-tea. These ancient ales may be highly intoxicating and aphrodisiacal when consumed in significant quantity. Historically, it has been said to stimulate the mind, create euphoria, and enhance sexual drive.
84;Wheatwine;A Wheat Wine (also called an American Style Wheat Wine) is a stronger wheat beer that is brewed with 50% or more wheat malt. The color ranges from gold to dark amber. The style is full bodied and has a high malt sweetness. Hop presence should be medium to low in both aroma and flavor. Fruit tones should be noted in both aroma and taste. Other style notes include bready, wheat, honey or caramel notes. ABV should be in the range of 8% to 12%. IBUs are medium at 40-80, usually at the lower end of the range.
85;American Dark Wheat Ale;An Americanized version of a Dunkel Weizen, these beers can range within the brown to garnet range. Often cloudy with long-lasting heads. Light to medium body with high level of carbonation. Hop characters will be low to high with some fruitiness from ale fermentation, though most examples use of a fairly neutral ale yeast, resulting in a clean fermentation with little to no diacetyl. Flavors of caramel and toasted malts might be present.
86;American Malt Liquor;"For the most part, Malt Liquor beers are sold in the infamous 40 oz sized bottles. Straw to pale amber in color, most use excessive amounts of adjuncts, such as corn, rice, refined brewers sugar (dextrose) and as a result there are very few ""all malt"" brewed malt liquors. Hops are barely used, just enough is added to balance off any cloyingness. Higher alcohol versions tend to have a loads of fusel alcohol, which gives off solvent or fuel like aromas and flavors. They are attenuated very well, meaning a higher ratio of fermentable sugars are present over other beers, but without using as many ingredients and still ending up with a high alcohol content. Some breweries enable the use of special enzymes to further breakdown the malt and adjuncts so they will yield a larger percentage of alcohol. This makes for quite a dry beer, with only a small amount of unfermented sugars and a kick that will knock you on your ass."
87;Baltic Porter;The Baltic Porter is brewed with lager yeast, which gives a smooth cold-fermented beer with few of the ale characters. Color should be black to very dark red-brown. Aroma has caramel sugars, chocolate, coffee and roasted malts. Also, a slight smokiness may also be present. Taste should not have a strong bitterness from either hops or roasted malts. Alcohol is likely notable in the taste. A light cocoa powder, fruity and possibly a slight smoky flavor may also be notable. Hops should be minimal all around, in both aroma and taste. Feel should be medium to full, with a slight sweetness in the lingering aftertaste. ABV should range from 7% to 9% or higher. IBUs should range from 30 to 40.
88;Munich Helles Lager;"When the golden and clean lagers of Plzen (Bohemia) became all the rage in the mid-1800's, M?nchen brewers feared that Germans would start drinking the Czech beer vs. their own. Munich Helles Lager was their answer to meet the demand. A bit more malty, they often share the same spicy hop characters of Czech Pils, but are a bit more subdued and in balance with malts. ""Helles"" is German for ""bright."""
89;Kristalweizen;A filtered version of a Hefeweizen, showcasing bright and clear bodies from pale straw to light amber. Overall character will be more clean and softer on the palate, and the common banana and phenols will be more subtle.
90;English Pale Mild Ale;Similar to an ordinary bitter yet not as hoppy, the English Pale Mild Ale is a delicate malty brew. Hops are generally mild with a balancing bitterness. Fruitiness, sulfur and buttery diacetyl may be present. The low alcohol range makes this ale a perfect session brew.
91;Lambic - Fruit;In the case of Fruit Lambics, whole fruits are traditionally added after spontaneous fermentation has started. Kriek (cherries), Frambroise (raspberries), P???che (peach) and Cassis (black currant) are common fruits, all producing subtle to intense fruit characters respectively. Once the fruit is added, the beer is subjected to additional maturation before bottling. Malt and hop characters are generally low to allow the fruit to consume the palate. Alcohol content tends to be low.
92;Old Ale;An Old Ale (or Stock Ale) is a strong, dark and malty English style of beer. The color should range from dark amber to dark brown. The aroma should have minimal hop notes, with strong malt or caramel notes apparent. Strong alcohol aromas are also usually obvious. Fruity esters and other dark fruit aromas may also be very notable. A long period of aging also contributes to the character of the sharpness of the flavors. The taste is generally complex, with very minimal hop bitterness. There should be a notable bite from the alcohol though, along with notes of vanilla, dark fruits, caramel, and sherry. If the ale was aged in a barrel, tones from the barrel will be very apparent with wood, vanilla, bourbon or other flavors apparent. The feel should be full bodied. ABV should range from 6% to 9%. IBUs are medium and range from 30 to 65.
93;Quadrupel (Quad);Inspired by the Trappist brewers of Belgium, a Quadrupel is a Belgian style ale of great strength with bolder flavor compared to its Dubbel and Tripel sister styles. Typically a dark creation that ranges within the deep red, brown and garnet hues. Full bodied with a rich malty palate. Phenols are usually at a moderate level. Sweet with a low bitterness yet a well perceived alcohol
94;Braggot;The Braggot is quite an old drink, there is a mentioned in Chaucer, Canterbury Tales in the late 1300’s, and there are earlier references dating even further back to the 12th century in Ireland. Braggot is simply made by blending spices and herbs with mead and beer, to produce a strong concoction with uncommon flavors. Many taverns would make this blend right at the bar though brewers would also blend them as well.
95;Lambic - Unblended;A spontaneous fermented unblended ale that is indigenous to the Senne Valley of Belgium, a large portion of wheat brings out the crispness though the flavor is dominated with a unique tartness from the wild yeast and bacteria that inoculate the brew from both airborne and tainted barrels that they ferment in. Light bodied with little hop flavor or bitterness. Look for hard cider, white wine or similar tartness. Lambics are aged before consumption to ensure that the tartness has mellowed.
96;Eisbock;Eisbock was originally discovered in Kulmbach, Bavaria by removing ice from partially frozen barrels of beer. This is a traditional style that is typically made by freeze distilling a doppelbock and removing the resulting ice. This provides a concentrated flavor and boosts the alcohol (upwards of 12% to 14%).The color should be deep copper to dark brown. The aroma should be dominated by the malt characteristics, with malt sweetness very evident. Other smells like dark fruits, caramel and chocolate can be present. Hop aroma should be nonexistent. The taste should follow the aroma, with malty sweetness dominant. Other flavors like dark fruits, caramel, a hint of chocolate and toasted notes also can be evident. Also, alcohol should be very obvious in the taste. The feel should be full bodied. ABV should range from 8% to 14%. IBUs should be somewhat low in the range of 26 to 33.
97;Berliner Weissbier;Berliner Weisse is a top-fermented, bottle conditioned wheat beer made with both traditional warm-fermenting yeasts and lactobacillus culture. They have a rapidly vanishing head and a clear, pale golden straw-coloured appearance. The taste is refreshing, tart, sour and acidic, with a lemony-citric fruit sharpness and almost no hop bitterness.
98;Kvass;"Kvass is Russian for ""leaven"" and is a 16th century beer-like beverage made with grains - wheat, rye, barley, etc - or dark rye bread, and often has additions of sugars, birch sap, berries, fruits; the process is akin to ancient beer brewing. It's basically a fermentation of what's around with a simple bakers yeast. It's low in alcohol and often flavored with herbs or fruits to knock the bitter edge out."
99;Faro;A blended Lambic with the addition of candi sugar for a lighter, quite sweet and more palatable beer. Commonly spiced with pepper, orange peel and coriander.
100;Gueuze;Gueuze is a type of Belgian Lambic beer that is made by blending a younger lambic (1 year old) with an older lambic (2-3 years old). This is then bottled for a secondary fermentation in the bottle. Most examples of the Gueuze style can handle long periods of aging, with the Cantillon Lou Pepe label noting that it can be aged for up to 20 years. Kriek is a closely related lambic that uses sour cherries before bottling.The color should be pale yellow, and somewhat cloudy. The aroma should have a very strong sour presence, with notes of green apples, cider, citrus rind and a notable acidity. Some brewers add sugar to the fermentation to dull the sour edge of the style. The taste should follow the aroma, with sourness being the primary flavor. There should also be strong notes of citrus, acidity and possibly a very slight sweet aftertaste. Hop bitterness should not be noticed at all. The feel should be light, with very high carbonation. ABV should be from 5% to 6%. IBUs should be very low at 11 to 23.
101;Gose;"""Gose is a German wheat beer that was first brewed in the 1700s in the town of Goslar, Germany. It is also known as a traditional style in Leipzig, Germany. It is a top-fermented, """"pre-lager"""" beer style. The beers typically have a moderate alcohol content of 4 to 5% ABV. Dominant flavors in Gose include a lemon tartness, a herbal characteristic, and a strong saltiness (the result of either local water sources or added salt). Gose beers typically do not have prominent hop bitterness, flavors, or aroma."""
102;Happoshu;"Japanese beer companies produce what's called ""Happoshu,"" which is sparkling low malt beverage. Since the tax for Happoshu is much less than the tax for beer, happoshu is cheaper than beer. For that reason, Happoshu has become very popular in Japan. Happoshu classification occurs when an ingredient other than malt, hops, rice, corn, kaoliang, potato, starch, or sugar is used, or if the malt ratio is less than 67%."
