type;varietal;food
Beer;Wheat Beer;Salad
White Wine;Viognier;Salad
White Wine;Vinho Verde;Salad
Sparkling Wine;Sparkling Wine;Salad
White Wine;Sauvignon Blanc;Salad
White Wine;Sancerre;Salad
Rose;Rose;Salad
White Wine;Rioja, White;Salad
White Wine;Riesling;Salad
White Wine;Pinot Gris;Salad
White Wine;Pinot Grigio;Salad
White Wine;Pinot Blanc;Salad
Rose;Patrimonio, Rose AOC;Salad
Beer;Lager;Salad
Red Wine;Gamay;Salad
White Wine;Chenin Blanc;Salad
White Wine;Chardonnay, Unoaked;Salad
Rose;Cotes de Provence, Rose AOC;Salad
Beer;Beer;Salad
Red Wine;Beaujolais;Salad
Beer;American Wheat Beer;Salad
Beer;Ale;Salad
White Wine;Vouvray;Saint-Nectaire Cheese
Red Wine;Saint-emilion AOC;Saint-Nectaire Cheese
White Wine;Riesling, Alsace;Saint-Nectaire Cheese
Red Wine;Rhone, Red Wine;Saint-Nectaire Cheese
Red Wine;Pinot Noir;Saint-Nectaire Cheese
Red Wine;Margaux;Saint-Nectaire Cheese
Red Wine;Languedoc, Red;Saint-Nectaire Cheese
Red Wine;Graves, Red;Saint-Nectaire Cheese
Red Wine;Chateauneuf du Pape, Red;Saint-Nectaire Cheese
Red Wine;Cote Rotie (AOC);Saint-Nectaire Cheese
White Wine;Burgundy, White;Saint-Nectaire Cheese
Red Wine;Bordeaux AOC Red;Saint-Nectaire Cheese
Red Wine;Beaujolais;Saint-Nectaire Cheese
Red Wine;Rhone, Red Wine;Saint-Marcellin Cheese
Dessert Wine;Muscat de Beaumes-de-Venise;Saint-Marcellin Cheese
Other;Hermitage, Red/White;Saint-Marcellin Cheese
Red Wine;Cornas AOC;Saint-Marcellin Cheese
Red Wine;Cote Rotie (AOC);Saint-Marcellin Cheese
White Wine;Sauvignon Blanc;Saint-Felicien Cheese
White Wine;Chardonnay;Saint-Felicien Cheese
Red Wine;Syrah;Sage
Red Wine;Shiraz;Sage
White Wine;Sauvignon Blanc;Sage
White Wine;Riesling;Sage
Red Wine;Pinot Noir;Sage
Red Wine;Merlot;Sage
White Wine;Pinot Gris;Sag Paneer
White Wine;Gruner Veltliner;Sag Paneer
White Wine;Viognier;Saffron
Rose;Rose;Saffron
Red Wine;Rioja, Red;Saffron
Red Wine;Merlot;Saffron
Red Wine;Garnacha;Saffron
White Wine;Chardonnay;Saffron
Red Wine;Cabernet Franc;Saffron
White Wine;Albarino;Saffron
Dessert Wine;Muscat, Orange;Rum Desserts
Dessert Wine;Muscat, Black;Rum Desserts
Red Wine;Ripasso Valpolicella;Rotisserie Chicken
Red Wine;Pinot Noir;Rotisserie Chicken
Red Wine;Zinfandel;Rosemary
Red Wine;Syrah;Rosemary
Sparkling Wine;Sparkling Wine, Rose;Rosemary
Red Wine;Shiraz;Rosemary
White Wine;Sauvignon Blanc;Rosemary
Red Wine;Sangiovese;Rosemary
White Wine;Riesling;Rosemary
Red Wine;Pinot Noir;Rosemary
Red Wine;Merlot;Rosemary
Red Wine;Gigondas;Rosemary
Red Wine;Chateauneuf du Pape, Red;Rosemary
Red Wine;Cabernet Sauvignon;Rosemary
Red Wine;Zinfandel;Roquefort Cheese
Sherry;Sherry, Sweet;Roquefort Cheese
Sherry;Sherry, PX;Roquefort Cheese
Sherry;Sherry, Oloroso;Roquefort Cheese
Dessert Wine;Sauternes;Roquefort Cheese
Beer;Russian Imperial Stout;Roquefort Cheese
Dessert Wine;Riesling, Late Harvest;Roquefort Cheese
White Wine;Riesling, Alsace;Roquefort Cheese
Red Wine;Rhone, Red Wine;Roquefort Cheese
Port;Port, Vintage;Roquefort Cheese
Port;Port, Tawny;Roquefort Cheese
Port;Port, Ruby;Roquefort Cheese
Beer;Old Ale;Roquefort Cheese
Dessert Wine;Muscat, Rivesaltes;Roquefort Cheese
Dessert Wine;Muscat de Beaumes-de-Venise;Roquefort Cheese
Dessert Wine;Monbazillac;Roquefort Cheese
White Wine;Meursault;Roquefort Cheese
Other;Mead;Roquefort Cheese
Red Wine;Madiran AOC;Roquefort Cheese
Fortified Wine;Madeira;Roquefort Cheese
Dessert Wine;Late Harvest Wines;Roquefort Cheese
Dessert Wine;Jurancon, Sweet AOC;Roquefort Cheese
Dessert Wine;Ice Wine;Roquefort Cheese
Other;Crianza;Roquefort Cheese
Beer;Chimay;Roquefort Cheese
Red Wine;Chateauneuf du Pape, Red;Roquefort Cheese
Red Wine;Cabernet Sauvignon;Roquefort Cheese
White Wine;Burgundy, White;Roquefort Cheese
Red Wine;Burgundy, Red;Roquefort Cheese
Beer;British Strong Ale;Roquefort Cheese
Beer;Belgian Beer;Roquefort Cheese
Liquor;Barsac;Roquefort Cheese
Dessert Wine;Banyuls;Roquefort Cheese
Red Wine;Amarone;Roquefort Cheese
Sparkling Wine;Sparkling Wine, Rose;Root Vegetable Soup
Rose;Rose;Roncal Cheese
Other;Rioja, Red or White;Roncal Cheese
Other;Navarra;Roncal Cheese
Red Wine;Merlot;Roncal Cheese
White Wine;Burgundy, White;Roncal Cheese
White Wine;Albarino;Roncal Cheese
Red Wine;Sangiovese;Romano Cheese
Red Wine;Nebbiolo;Romano Cheese
Red Wine;Merlot;Romano Cheese
Red Wine;Chianti DOCG;Romano Cheese
Red Wine;Brunello di Montalcino (DOCG);Romano Cheese
Red Wine;Barolo;Romano Cheese
Red Wine;Barbera DOC;Romano Cheese
Red Wine;Barbaresco DOCG;Romano Cheese
Sparkling Wine;Prosecco;Robiola Cheese
Red Wine;Barolo;Robiola Cheese
Red Wine;Barbaresco DOCG;Robiola Cheese
Red Wine;Amarone;Robiola Cheese
Red Wine;Rioja, Red;Roasted Leg of Lamb
Red Wine;Cabernet Sauvignon;Roasted Leg of Lamb
Red Wine;Bordeaux AOC Red;Roasted Leg of Lamb
Beer;Trappist;Roasted Lamb
Red Wine;Shiraz;Roasted Lamb
Beer;Scotch Ale;Roasted Lamb
Red Wine;Rioja, Red;Roasted Lamb
Red Wine;Pinot Noir;Roasted Lamb
Red Wine;Pinot Noir;Roasted Lamb
Red Wine;Merlot;Roasted Lamb
Red Wine;Medoc;Roasted Lamb
Beer;Dubbel;Roasted Lamb
Red Wine;Chianti Classico DOCG;Roasted Lamb
Red Wine;Cabernet Sauvignon;Roasted Lamb
Red Wine;Bordeaux AOC Red;Roasted Lamb
Beer;Biere De Garde;Roasted Lamb
Red Wine;Barolo;Roasted Lamb
Beer;Abbey Beer;Roasted Lamb
Red Wine;Zinfandel;Roasted Duck
White Wine;Viognier;Roasted Duck
Red Wine;Syrah;Roasted Duck
Red Wine;Shiraz;Roasted Duck
Red Wine;Saint-emilion AOC;Roasted Duck
Other;Rioja, Red or White;Roasted Duck
Red Wine;Rhone, Red Wine;Roasted Duck
Red Wine;Pinot Noir;Roasted Duck
Red Wine;Madiran AOC;Roasted Duck
Red Wine;Hermitage, Red;Roasted Duck
Red Wine;Chateauneuf du Pape, Red;Roasted Duck
Red Wine;Cabernet Sauvignon;Roasted Duck
Red Wine;Cote Rotie (AOC);Roasted Duck
Red Wine;Burgundy, Red;Roasted Duck
Red Wine;Bordeaux AOC Red;Roasted Duck
Red Wine;Barbera DOC;Roasted Duck
White Wine;Sauvignon Blanc;Roasted Chicken with Garlic and/or Herbs
Red Wine;Syrah;Roasted Chicken
Red Wine;Shiraz;Roasted Chicken
Other;Rioja, Red or White;Roasted Chicken
Red Wine;Pinot Noir;Roasted Chicken
White Wine;Pinot Gris;Roasted Chicken
Red Wine;Patrimonio, Red AOC;Roasted Chicken
Beer;Pale Ale;Roasted Chicken
Beer;Oktoberfest Marzen;Roasted Chicken
Red Wine;Merlot;Roasted Chicken
Beer;Marzenbier;Roasted Chicken
Beer;Lager;Roasted Chicken
Beer;Dunkel/Dunkles;Roasted Chicken
Beer;Dubbel;Roasted Chicken
Beer;Doppelbock;Roasted Chicken
Red Wine;Dolcetto d'Alba DOC;Roasted Chicken
Red Wine;Dolcetto;Roasted Chicken
Rose;Crozes Hermitage, Red;Roasted Chicken
Red Wine;Chianti Classico DOCG;Roasted Chicken
White Wine;Chardonnay;Roasted Chicken
Red Wine;Cabernet Franc;Roasted Chicken
Other;Cotes du Rhone, Red/White;Roasted Chicken
White Wine;Burgundy, White;Roasted Chicken
Red Wine;Burgundy, Red;Roasted Chicken
Beer;British India Pale Ale;Roasted Chicken
Beer;British Brown Ale;Roasted Chicken
Beer;British Bitter;Roasted Chicken
Red Wine;Bordeaux AOC Red;Roasted Chicken
Beer;Biere De Garde;Roasted Chicken
Red Wine;Bergerac, Red;Roasted Chicken
Beer;Belgian Pale Ale;Roasted Chicken
Red Wine;Beaujolais;Roasted Chicken
Red Wine;Barbera DOC;Roasted Chicken
Red Wine;Valpolicella;Roast Beef Sandwich
Red Wine;Merlot;Roast Beef Sandwich
Red Wine;Beaujolais;Roast Beef Sandwich
White Wine;Pinot Grigio;Risotto with Vegetables
White Wine;Pinot Blanc;Risotto with Vegetables
White Wine;Pinot Bianco;Risotto with Vegetables
White Wine;Chardonnay, Unoaked;Risotto with Vegetables
Coffee;Espresso;Risotto with Truffles
White Wine;Sauvignon Blanc;Risotto with Seafood
White Wine;Chardonnay, Unoaked;Risotto with Seafood
Red Wine;Dolcetto d'Alba DOC;Risotto with Quail
Red Wine;Ripasso Valpolicella;Risotto with Mushrooms
Red Wine;Pinot Noir;Risotto with Mushrooms
White Wine;Burgundy, White;Risotto with Mushrooms
Red Wine;Barbera DOC;Risotto with Mushrooms
Red Wine;Barbaresco DOCG;Risotto with Mushrooms
Red Wine;Appassimento;Risotto with Mushrooms
White Wine;Sauvignon Blanc;Risotto with Lobster
Red Wine;Brunello di Montalcino (DOCG);Risotto with Game
White Wine;Sauvignon Blanc;Risotto with Asparagus
White Wine;Pinot Grigio;Risotto with Asparagus
Red Wine;Valpolicella;Risotto
Beer;Tripel;Risotto
White Wine;Soave Superiore Classico;Risotto
White Wine;Pinot Grigio;Risotto
White Wine;Pinot Bianco;Risotto
Red Wine;Dolcetto;Risotto
White Wine;Chardonnay;Risotto
Red Wine;Brunello di Montalcino Riserva (DOCG);Risotto
Red Wine;Brunello di Montalcino (DOCG);Risotto
Beer;Biere De Garde;Risotto
Beer;Belgian Strong Golden Ale;Risotto
Red Wine;Bardolino Superiore;Risotto
Red Wine;Barbera DOC;Risotto
Red Wine;Barbaresco DOCG;Risotto
White Wine;Sauvignon Blanc;Ricotta Cheese
Port;Port, Vintage;Ricotta Cheese
White Wine;Pinot Grigio;Ricotta Cheese
Other;Marsala;Ricotta Cheese
Red Wine;Lambrusco;Ricotta Cheese
White Wine;Chenin Blanc;Ricotta Cheese
White Wine;Chardonnay;Ricotta Cheese
Other;Brachetto;Ricotta Cheese
Sherry;Sherry, Sweet;Rice Pudding
Dessert Wine;Sauternes;Rice Pudding
Port;Port, Tawny;Rice Pudding
Dessert Wine;Muscat, Black;Rice Pudding
Fortified Wine;Madeira;Rice Pudding
Dessert Wine;Banyuls;Rice Pudding
Red Wine;Shiraz;Ribs Barbecued
Red Wine;Baco Noir;Ribs Barbecued
Red Wine;Super Tuscan;Ribolita
Red Wine;Chianti DOCG;Ribolita
Sparkling Wine;Sparkling Wine;Rhubarb
Dessert Wine;Sauternes;Rhubarb
White Wine;Riesling;Rhubarb
Dessert Wine;Muscat, Orange;Rhubarb
Dessert Wine;Late Harvest Gewurztraminer;Rhubarb
White Wine;Gewurztraminer;Rhubarb
Dessert Wine;Beernauslese;Rhubarb
White Wine;Sauvignon Blanc;Redfish Blackened
White Wine;Riesling, Alsace;Redfish Blackened
White Wine;Pinot Blanc;Redfish Blackened
White Wine;Gewurztraminer, Alsace;Redfish Blackened
White Wine;Chardonnay;Redfish Blackened
White Wine;Vinho Verde;Red Snapper Grilled
White Wine;Semillon;Red Snapper Grilled
Red Wine;Pinot Noir;Red Snapper Grilled
Rose;Bandol Rose AOC;Red Snapper Grilled
White Wine;Vouvray;Red Snapper
White Wine;Sauvignon Blanc;Red Snapper
Rose;Rose;Red Snapper
White Wine;Riesling;Red Snapper
Red Wine;Pinot Noir;Red Snapper
Beer;Lager;Red Snapper
White Wine;Chenin Blanc;Red Snapper
White Wine;Chardonnay;Red Snapper
Red Wine;Cabernet Franc;Red Snapper
White Wine;Burgundy, White;Red Snapper
White Wine;Vouvray;Red Pepper Soup
White Wine;Sauvignon Blanc;Red Pepper Soup
White Wine;Gewurztraminer, Alsace;Red Pepper Soup
Red Wine;Beaujolais;Red Currants
Red Wine;Red Wine;Red Cabbage
Red Wine;Merlot;Red Cabbage
Red Wine;Dolcetto;Red Cabbage
Juice;Apple Based Drinks;Red Cabbage
Red Wine;Zinfandel;Red Bell Pepper
White Wine;Viognier;Red Bell Pepper
Red Wine;Tempranillo;Red Bell Pepper
White Wine;Semillon;Red Bell Pepper
White Wine;Sauvignon Blanc;Red Bell Pepper
Rose;Rose;Red Bell Pepper
Red Wine;Merlot;Red Bell Pepper
Red Wine;Cabernet Sauvignon;Red Bell Pepper
Red Wine;Cabernet Franc;Red Bell Pepper
Red Wine;Cotes du Rhone, Red;Red Bell Pepper
Red Wine;Beaujolais;Red Bell Pepper
Red Wine;Zinfandel;Red Beans
Red Wine;Shiraz;Red Beans
Red Wine;Grenache;Red Beans
Red Wine;Chianti DOCG;Red Beans
White Wine;Sauvignon Blanc;Reblochon Cheese
White Wine;Sancerre;Reblochon Cheese
Red Wine;Saint-emilion AOC;Reblochon Cheese
Port;Port, Vintage;Reblochon Cheese
Red Wine;Pinot Noir;Reblochon Cheese
White Wine;Kabinett Riesling;Reblochon Cheese
Other;Hermitage, Red/White;Reblochon Cheese
Red Wine;Burgundy, Red;Reblochon Cheese
White Wine;Aligote;Reblochon Cheese
Red Wine;Zinfandel;Ratatouille
White Wine;Verdejo;Ratatouille
Beer;Tripel;Ratatouille
Rose;Rose;Ratatouille
Red Wine;Merlot;Ratatouille
Beer;Dubbel;Ratatouille
Red Wine;Cabernet Sauvignon;Ratatouille
Rose;Cotes de Provence, Rose AOC;Ratatouille
Beer;Biere De Garde;Ratatouille
Beer;Belgian Strong Golden Ale;Ratatouille
Beer;Wheat Beer;Raspberry Vinaigrette
Sparkling Wine;Sparkling Wine, Rose;Raspberry Vinaigrette
Sparkling Wine;Sparkling Wine;Raspberry Vinaigrette
Dessert Wine;Riesling, Late Harvest;Raspberry Dessert (Creamy)
Beer;Wheat Beer;Raspberry Dessert
Sparkling Wine;Sparkling Wine, Demi-Sec;Raspberry Dessert
Dessert Wine;Sauternes;Raspberry Dessert
Port;Port, Tawny;Raspberry Dessert
Port;Port, Ruby;Raspberry Dessert
Beer;Lambic Fruit Beer;Raspberry Dessert
Beer;Imperial Stout;Raspberry Dessert
Beer;Cream Stout;Raspberry Dessert
Sparkling Wine;Champagne, Rose;Raspberry Dessert
Dessert Wine;Banyuls;Raspberry Dessert
Beer;Baltic Porter;Raspberry Dessert
Beer;American Amber Ale;Raspberry Dessert
Dessert Wine;Sauternes;Raspberries
White Wine;Riesling;Raspberries
Dessert Wine;Muscat, Rivesaltes;Raspberries
Dessert Wine;Muscat, Black;Raspberries
Dessert Wine;Late Harvest Riesling;Raspberries
Sparkling Wine;Champagne, Rose;Raspberries
Red Wine;Beaujolais Villages;Raspberries
Sherry;Sherry, Sweet;Raisins
Port;Port, Tawny;Raisins
Red Wine;Grenache;Raisins
Red Wine;Beaujolais;Raisins
White Wine;Sauvignon Blanc;Radishes
Red Wine;Syrah;Raclette Cheese
White Wine;Sauvignon Blanc;Raclette Cheese
Red Wine;Sangiovese;Raclette Cheese
White Wine;Sancerre;Raclette Cheese
White Wine;Riesling;Raclette Cheese
Red Wine;Pinot Noir;Raclette Cheese
White Wine;Gewurztraminer;Raclette Cheese
White Wine;Chablis;Raclette Cheese
Red Wine;Beaujolais;Raclette Cheese
Red Wine;Barbera DOC;Raclette Cheese
Red Wine;Coteaux du Languedoc, Red AOC;Rabbit with Mustard
White Wine;Pinot Gris;Rabbit Stewed
Red Wine;Chateauneuf du Pape, Red;Rabbit Stewed
Red Wine;Barolo;Rabbit Stewed
Red Wine;Barbaresco DOCG;Rabbit Stewed
Red Wine;Zinfandel;Rabbit
Red Wine;Volnay, Red;Rabbit
Beer;Tripel;Rabbit
Red Wine;Syrah;Rabbit
Red Wine;Shiraz;Rabbit
Red Wine;Rioja, Red;Rabbit
Red Wine;Ribera del Duero, Red;Rabbit
Red Wine;Pomerol;Rabbit
Red Wine;Pinot Noir;Rabbit
Red Wine;Merlot;Rabbit
Red Wine;Hermitage, Red;Rabbit
Beer;Cider;Rabbit
Red Wine;Chinon, Red (AOC);Rabbit
Red Wine;Chianti DOCG;Rabbit
Red Wine;Cote Rotie (AOC);Rabbit
Beer;British Strong Ale;Rabbit
Beer;British Bitter;Rabbit
Red Wine;Bordeaux AOC Red;Rabbit
Beer;Biere De Garde;Rabbit
Red Wine;Beaujolais;Rabbit
Beer;Ale;Rabbit
Beer;Witbier/Belgian White Beer;Quiches
Beer;Wheat Beer;Quiches
Beer;Weisse/Weissbier;Quiches
Red Wine;Sylvaner;Quiches
Rose;Rose;Quiches
White Wine;Riesling, Alsace;Quiches
White Wine;Riesling;Quiches
White Wine;Pinot Gris, Alsace;Quiches
White Wine;Pinot Gris;Quiches
White Wine;Pinot Gris;Quiches
White Wine;Pinot Blanc Alsace;Quiches
Beer;Kolsch;Quiches
Beer;Helles;Quiches
White Wine;Chardonnay, Unoaked;Quiches
Sparkling Wine;Champagne;Quiches
Other;Cotes du Rhone, Red/White;Quiches
White Wine;Burgundy, White;Quiches
Red Wine;Beaujolais;Quiches
Beer;American Wheat Beer;Quiches
Sparkling Wine;Sparkling Wine;Quesadillas
White Wine;Sauvignon Blanc;Quesadillas
Rose;Rose;Quesadillas
Red Wine;Merlot;Quesadillas
Liquor;Margarita;Quesadillas
Sparkling Wine;Cava;Quesadillas
Beer;Beer;Quesadillas
Red Wine;Cabernet Franc;Quail Grilled
Sparkling Wine;Sparkling Wine;Quail Eggs
Sparkling Wine;Sparkling Wine;Quail Eggs
White Wine;Chardonnay;Quail Eggs
Sparkling Wine;Champagne;Quail Eggs
Sparkling Wine;Champagne;Quail Eggs
Beer;Tripel;Quail
Red Wine;Syrah;Quail
Red Wine;Shiraz;Quail
Red Wine;Rioja, Red;Quail
Red Wine;Pinot Noir;Quail
Red Wine;Patrimonio, Red AOC;Quail
Beer;English Brown Ale;Quail
Beer;Cider;Quail
White Wine;Chardonnay;Quail
Red Wine;Cabernet Sauvignon;Quail
Red Wine;Cotes du Rhone, Red;Quail
Red Wine;Burgundy, Red;Quail
Beer;British Bitter;Quail
Red Wine;Bordeaux AOC Red;Quail
Beer;Biere De Garde;Quail
Beer;Belgian Pale Ale;Quail
Red Wine;Zinfandel;Puttanesca
Red Wine;Vernaccia di Serrapetrona Spumante, Red, Dry;Puttanesca
Red Wine;Sangiovese;Puttanesca
Red Wine;Pinot Noir;Puttanesca
Dessert Wine;Vin Santo;Pumpkin Pie
Tea;Tea, Chai;Pumpkin Pie
Tea;Tea, Black;Pumpkin Pie
Beer;Spiced Beer;Pumpkin Pie
Sherry;Sherry, Oloroso;Pumpkin Pie
Sherry;Sherry, Cream;Pumpkin Pie
Beer;Pumpkin Ale;Pumpkin Pie
Beer;Oatmeal Stout;Pumpkin Pie
Beer;Imperial Stout;Pumpkin Pie
Beer;Cream Stout;Pumpkin Pie
White Wine;Chardonnay;Pumpkin Pie
Beer;Baltic Porter;Pumpkin Pie
Sherry;Sherry, Oloroso;Pumpkin
Sherry;Sherry, Cream;Pumpkin
White Wine;Semillon;Pumpkin
Dessert Wine;Sauternes;Pumpkin
Port;Port, Tawny;Pumpkin
Fortified Wine;Madeira, Malmsey;Pumpkin
White Wine;Chardonnay;Pumpkin
Red Wine;Pinot Noir;Pulled Pork
Dessert Wine;Sauternes;Prunes
Port;Port, Tawny;Prunes
Red Wine;Burgundy, Red;Prunes
Dessert Wine;Banyuls;Prunes
Dessert Wine;Vin Santo;Provolone Cheese
Red Wine;Syrah;Provolone Cheese
Red Wine;Shiraz;Provolone Cheese
White Wine;Riesling;Provolone Cheese
Beer;Pale Ale;Provolone Cheese
Red Wine;Merlot;Provolone Cheese
Red Wine;Dolcetto;Provolone Cheese
Red Wine;Chianti Riserva DOCG;Provolone Cheese
Red Wine;Chianti Classico DOCG;Provolone Cheese
White Wine;Chenin Blanc;Provolone Cheese
White Wine;Chardonnay;Provolone Cheese
White Wine;Chardonnay;Provolone Cheese
Red Wine;Cabernet Sauvignon;Provolone Cheese
Red Wine;Barolo;Provolone Cheese
Red Wine;Barolo;Provolone Cheese
Other;Bardolino Superiore;Provolone Cheese
Beer;Weissbock;Prosciutto
Red Wine;Vernaccia di Serrapetrona Spumante, Red, Dry;Prosciutto
Red Wine;Valpolicella;Prosciutto
Sparkling Wine;Sparkling Wine, Rose;Prosciutto
White Wine;Soave (Superiore);Prosciutto
Beer;Schwarzbier;Prosciutto
Red Wine;Sangiovese;Prosciutto
Sparkling Wine;Prosecco;Prosciutto
Beer;Porter;Prosciutto
White Wine;Pinot Grigio;Prosciutto
Red Wine;Mencia;Prosciutto
Red Wine;Lambrusco;Prosciutto
Beer;Lager;Prosciutto
Beer;Irish Stout;Prosciutto
Beer;Hellesbock;Prosciutto
Beer;Dortmunder Export;Prosciutto
Beer;Doppelbock;Prosciutto
Red Wine;Chianti DOCG;Prosciutto
White Wine;Chardonnay, Unoaked;Prosciutto
Red Wine;Barbera d'Alba (DOC);Prosciutto
White Wine;Gavi/Cortese di Gavi (DOCG);Prawns Roasted
Tea;Tea;Pound Cake
Sherry;Sherry, Sweet;Pound Cake
Sherry;Sherry, Cream;Pound Cake
Port;Port;Pound Cake
Dessert Wine;Muscat, Orange;Pound Cake
Coffee;Light Roasted;Pound Cake
Dessert Wine;Late Harvest White Wines;Pound Cake
Red Wine;Chianti DOCG;Potato Soup
White Wine;Chardonnay;Potato Soup
Rose;Rose;Potato Salad
White Wine;Riesling;Potato Leek Soup
Sparkling Wine;Sparkling Wine;Potato Chips
Beer;Beer;Potato Chips
Red Wine;Sangiovese;Potato and Egg Frittatas
Red Wine;Cotes du Rhone, Red;Pot Au Feu
Red Wine;Beaujolais;Pot Au Feu
White Wine;Vinho Verde;Portugese Cuisine
Red Wine;Cabernet Sauvignon;Portobello Mushrooms Grilled
Red Wine;Pinot Noir;Portobello Mushrooms
Red Wine;Cabernet Sauvignon;Portobello Mushrooms
White Wine;Riesling;Port Salut Cheese
Red Wine;Red Wine;Port Salut Cheese
Red Wine;Pinot Noir;Port Salut Cheese
Sparkling Wine;Champagne, Dry;Port Salut Cheese
Red Wine;Cabernet Sauvignon;Port Salut Cheese
Other;Cotes du Rhone, Red/White;Port Salut Cheese
Red Wine;Burgundy, Red;Port Salut Cheese
Red Wine;Bordeaux AOC Red;Port Salut Cheese
Red Wine;Beaujolais;Port Salut Cheese
White Wine;Vouvray;Pork With Fruit or Fruit Sauce
White Wine;Viognier;Pork With Fruit or Fruit Sauce
White Wine;Riesling;Pork With Fruit or Fruit Sauce
White Wine;Gewurztraminer;Pork With Fruit or Fruit Sauce
White Wine;Chardonnay;Pork With Fruit or Fruit Sauce
White Wine;Chardonnay;Pork with a Creamy Sauce
White Wine;Soave (Superiore);Pork Tenderloin
White Wine;Riesling;Pork Tenderloin
Beer;English Brown Ale;Pork Tenderloin
Beer;Cider, Hard;Pork Tenderloin
White Wine;Chardonnay;Pork Tenderloin
Red Wine;Zinfandel;Pork Tacos
Rose;Rose;Pork Tacos
Red Wine;Pinot Noir;Pork Tacos
Red Wine;Petit Verdot;Pork Spare Ribs
Red Wine;Zinfandel;Pork Roasted
Rose;Rose;Pork Roasted
Red Wine;Rioja, Red;Pork Roasted
White Wine;Pinot Gris;Pork Roasted
Beer;Oktoberfest Marzen;Pork Roasted
Other;Mead;Pork Roasted
White Wine;Kabinett Riesling;Pork Roasted
Red Wine;Grenache;Pork Roasted
White Wine;Gewurztraminer;Pork Roasted
Beer;Dunkel/Dunkles;Pork Roasted
Beer;Dubbel;Pork Roasted
Beer;Doppelbock;Pork Roasted
Red Wine;Chianti DOCG;Pork Roasted
White Wine;Chardonnay;Pork Roasted
Beer;Biere De Garde;Pork Roasted
Red Wine;Beaujolais;Pork Roasted
Red Wine;Appassimento;Pork Roasted
Beer;Altbier Beer;Pork Roasted
Red Wine;Dolcetto d'Asti DOC;Pork Rib and Sausage Stew
White Wine;Riesling;Pork Loin
Red Wine;Pinot Noir;Pork Loin
Red Wine;Coteaux du Languedoc, Red AOC;Pork Loin
Red Wine;Burgundy, Red;Pork Loin
Red Wine;Zinfandel;Pork Grilled
Rose;Rose;Pork Grilled
Red Wine;Pinot Noir;Pork Grilled
Red Wine;Merlot;Pork Grilled
Red Wine;Chianti DOCG;Pork Grilled
White Wine;Chardonnay;Pork Grilled
Red Wine;Zinfandel;Pork Chops Roasted
Red Wine;Pinot Noir;Pork Chops Roasted
White Wine;Pinot Gris;Pork Chops Roasted
White Wine;Pinot Grigio;Pork Chops Roasted
Red Wine;Merlot;Pork Chops Roasted
Beer;Beer;Pork Chops Roasted
Red Wine;Zinfandel;Pork Chops Grilled
Red Wine;Pinot Noir;Pork Chops Grilled
White Wine;Pinot Gris;Pork Chops Grilled
White Wine;Pinot Grigio;Pork Chops Grilled
Red Wine;Merlot;Pork Chops Grilled
Beer;Beer;Pork Chops Grilled
Beer;Amber Ale;Pork Chops Fried
Red Wine;Zinfandel;Pork
White Wine;Viognier;Pork
Red Wine;Tempranillo;Pork
Red Wine;Syrah;Pork
Red Wine;Shiraz;Pork
Rose;Rose;Pork
White Wine;Riesling;Pork
Red Wine;Ribera del Duero, Red;Pork
Red Wine;Pinot Noir;Pork
White Wine;Pinot Gris, Alsace;Pork
White Wine;Pinot Gris;Pork
White Wine;Pinot Blanc;Pork
Tea;Oolong;Pork
Red Wine;Merlot;Pork
Beer;Lager;Pork
White Wine;Gewurztraminer;Pork
White Wine;Chardonnay;Pork
Beer;Beer;Pork
Red Wine;Beaujolais, Cru;Pork
Red Wine;Beaujolais;Pork
Beer;Amber Ale;Pork
Red Wine;Tempranillo;Porcini Mushrooms
Red Wine;Pomerol;Porcini Mushrooms
Red Wine;Pinot Noir;Porcini Mushrooms
Red Wine;Merlot;Porcini Mushrooms
Red Wine;Barolo;Porcini Mushrooms
Sparkling Wine;Sparkling Wine;Popcorn
Sparkling Wine;Prosecco;Popcorn
White Wine;Chardonnay;Popcorn
Red Wine;Rhone, Red Wine;Pont-L'eveque Cheese
Port;Port, Tawny;Pont-L'eveque Cheese
Red Wine;Pinot Noir;Pont-L'eveque Cheese
White Wine;Pinot Gris, Alsace;Pont-L'eveque Cheese
White Wine;Meursault;Pont-L'eveque Cheese
Beer;Cider, Hard;Pont-L'eveque Cheese
Beer;Chimay;Pont-L'eveque Cheese
Red Wine;Cabernet Sauvignon;Pont-L'eveque Cheese
Red Wine;Burgundy, Red;Pont-L'eveque Cheese
Red Wine;Bordeaux AOC Red;Pont-L'eveque Cheese
Beer;Beer;Pont-L'eveque Cheese
Beer;Ale;Pont-L'eveque Cheese
White Wine;Gewurztraminer;Polish Cuisine
Red Wine;Cabernet Franc;Polish Cuisine
Beer;Beer;Polish Cuisine
Red Wine;Merlot;Polenta with Cheese and Mushrooms
White Wine;Chardonnay;Polenta with Cheese and Mushrooms
Red Wine;Dolcetto;Polenta
Beer;Beer;Polenta
Beer;Beer;Po'Boy Sandwich
White Wine;Riesling;Poblano Chilie
White Wine;Riesling;Poached Chicken
Red Wine;Pinot Noir;Poached Chicken
White Wine;Burgundy, White;Poached Chicken
Port;Port, Vintage;Plums
Port;Port, Ruby;Plums
Dessert Wine;Muscat, Black;Plums
Dessert Wine;Banyuls;Plums
